Date,Day of the Week,Day Type,FOMC Day,FOMC Week,Week0,Week1,Week2,Week3,Week4,Week5,Week6,FedEffective,FE_Weekly,VIX,VIX_Ratio,GDP_PCT,Unemployment,SP_Volume,SP_Vol_Ratio,SP_Std_Dev,DailyPremium,WeeklyPremium,FF_daily,FF_weekly,Trade
27-Jan-94,Thursday,Trading Day,-6,-1,0,0,0,0,0,0,0,3,0.265608018,10.3,1.04368932,1.453062547,6.6,346500000,1.116121759,0.832520517,2.041987394,0.946177331,0.78,1.92,1
28-Jan-94,Friday,Trading Day,-5,-1,0,0,0,0,0,0,0,2.98,0.256635743,9.94,1.534205231,1.453062547,6.6,313140000,0.904114335,0.8314101,0.882623911,0.412712597,0.42,0.93,1
31-Jan-94,Monday,Trading Day,-4,-1,0,0,0,0,0,0,0,3.68,0.187781535,10.63,1.313264346,1.453062547,6.6,322870000,1.087470529,0.830186438,1.546008732,-0.908526367,0.57,-1.81,-1
1-Feb-94,Tuesday,Trading Day,-3,-1,0,0,0,0,0,0,0,3.25,0.07040698,10.65,1.282629108,1.453062547,6.6,322510000,0.988930455,0.830164926,-1.005890786,-1.010218742,-0.28,-2.05,-1
2-Feb-94,Wednesday,Trading Day,-2,-1,0,0,0,0,0,0,0,3.31,0.069863813,10.61,1.253534402,1.453062547,6.6,328960000,1.079761045,0.829345614,1.266157406,-0.881202527,0.43,-1.72,-1
3-Feb-94,Thursday,Trading Day,-1,0,1,0,0,0,0,0,0,3.12,0.061759904,10.75,1.324651163,1.453062547,6.6,318350000,0.918759019,0.828373631,-0.62533628,-0.950737649,-0.21,-1.71,-1
4-Feb-94,Friday,Trading Day,0,0,1,0,0,0,0,0,0,3.19,0.054728768,15.25,0.948196721,1.453062547,6.6,378380000,1.208341317,0.832997639,-5.723570909,-1.235457783,-2.32,-2.17,-1
7-Feb-94,Monday,Trading Day,1,0,1,0,0,0,0,0,0,3.31,0.066511725,13.96,1.022922636,1.453062547,6.6,348270000,1.078669434,0.832737145,1.03754686,0.042176236,0.33,0.18,1
8-Feb-94,Tuesday,Trading Day,2,0,1,0,0,0,0,0,0,3.24,0.079671946,13.66,0.980966325,1.453062547,6.6,318180000,0.98657406,0.833068307,-0.360809711,-0.159971842,0.05,-0.04,-1
9-Feb-94,Wednesday,Trading Day,3,0,1,0,0,0,0,0,0,3.15,0.139863879,13.3,0.987218045,1.453062547,6.6,332670000,1.011277967,0.832933516,0.918481792,0.159537499,0.44,0.38,1
10-Feb-94,Thursday,Trading Day,4,1,0,1,0,0,0,0,0,3.16,0.141471855,14.24,0.968398876,1.453062547,6.6,327250000,1.027956651,0.832302661,-2.04893695,0.00463383,-0.67,-5.55112E-17,1
11-Feb-94,Friday,Trading Day,5,1,0,1,0,0,0,0,0,3.14,0.136189644,14.46,1.01659751,1.453062547,6.6,213740000,0.564881865,0.854626692,0.664599189,0.152567748,0.03,0.21,1
14-Feb-94,Monday,Trading Day,6,1,0,1,0,0,0,0,0,3.35,0.103670724,14.28,1.01659751,1.453062547,6.6,263190000,0.755706779,0.855099994,0.026806469,-0.263869447,0.11,-0.3,-1
15-Feb-94,Tuesday,Trading Day,7,1,0,1,0,0,0,0,0,3.49,0.106211828,13.4,1.008955224,1.453062547,6.6,306790000,0.964202653,0.854199146,1.236736997,-0.269230741,0.47,-0.41,-1
16-Feb-94,Wednesday,Trading Day,8,1,0,1,0,0,0,0,0,3.34,0.061759904,13.13,1.059405941,1.453062547,6.6,295450000,0.888117354,0.849715171,0.143963445,-0.110689171,0.06,-0.25,-1
17-Feb-94,Thursday,Trading Day,9,2,0,0,1,0,0,0,0,3.3,0.050284903,13.79,1.157360406,1.453062547,6.6,340030000,1.039052712,0.852813812,-1.309267358,-0.211865712,-0.46,-0.45,-1
18-Feb-94,Friday,Trading Day,10,2,0,0,1,0,0,0,0,3.21,0.044507891,14.7,1.006802721,1.453062547,6.6,293210000,1.371806868,0.835590264,-1.417586788,-0.644510998,-0.48,-1.24,-1
21-Feb-94,Monday,Holiday,11,2,0,0,1,0,0,0,0,3.21,0.039036003,14.7,1.006802721,1.453062547,6.6,293210000,1.114062084,0.831842277,-1.417586788,-0.644510998,#N/A,#N/A,-1
22-Feb-94,Tuesday,Trading Day,12,2,0,0,1,0,0,0,0,3.33,0.096214047,13.52,1.170857988,1.453062547,6.6,270900000,0.88301444,0.834376162,2.029444846,-0.04930648,0.63,-0.02,-1
23-Feb-94,Wednesday,Trading Day,13,2,0,0,1,0,0,0,0,3.25,0.095018795,13.91,1.156002876,1.453062547,6.6,309910000,1.048942291,0.83444286,-0.361919258,-0.731105553,-0.14,-1.17,-1
24-Feb-94,Thursday,Trading Day,14,3,0,0,0,1,0,0,0,3.25,0.095692961,15.96,1.025062719,1.453062547,6.6,342940000,1.008558068,0.834973899,-3.472493789,-0.621084806,-1.25,-1.16,-1
25-Feb-94,Friday,Trading Day,15,3,0,0,0,1,0,0,0,3.23,0.095194037,14.8,1.081081081,1.453062547,6.6,273680000,0.933392449,0.836754199,0.986802324,-0.120891012,0.36,-0.15,-1
28-Feb-94,Monday,Trading Day,16,3,0,0,0,1,0,0,0,3.49,0.089947074,14.87,0.958977808,1.453062547,6.6,268690000,0.91637393,0.838878082,0.571633479,-0.124043726,0.38,-0.05,-1
1-Mar-94,Tuesday,Trading Day,17,3,0,0,0,1,0,0,0,3.31,0.02572751,15.83,1.025268478,1.453062547,6.5,304450000,1.123846438,0.836953486,-1.379550523,-0.004834026,-0.52,0.13,-1
2-Mar-94,Wednesday,Trading Day,18,3,0,0,0,1,0,0,0,3.24,0.017182494,16.08,0.896144279,1.453062547,6.5,361130000,1.165273789,0.843441589,0.188184482,0.162269303,-0.13,0.42,1
3-Mar-94,Thursday,Trading Day,19,4,0,0,0,0,1,0,0,3.26,0.021157009,16.360001,1.011613569,1.453062547,6.5,291790000,0.850848545,0.841462756,-0.971524821,0.250876485,-0.24,0.71,1
4-Mar-94,Friday,Trading Day,20,4,0,0,0,0,1,0,0,3.25,0.02370453,16,0.929375,1.453062547,6.5,311850000,1.139469453,0.838879025,0.971038754,0.098033502,0.46,0.33,1
7-Mar-94,Monday,Trading Day,21,4,0,0,0,0,1,0,0,3.29,0.045250625,14.26,1.164796704,1.453062547,6.5,285590000,1.062897763,0.836194489,1.167681982,0.179029917,0.56,0.31,1
8-Mar-94,Tuesday,Trading Day,22,4,0,0,0,0,1,0,0,3.24,0.048205908,16.23,0.910659273,1.453062547,6.5,298110000,0.979175562,0.836522279,-0.544033879,0.051787554,-0.23,0.04,1
9-Mar-94,Wednesday,Trading Day,23,4,0,0,0,0,1,0,0,3.22,0.049280538,14.41,1.006939625,1.453062547,6.5,309810000,0.85789051,0.829342804,0.631220392,0.125845296,0.16,0.3,1
10-Mar-94,Thursday,Trading Day,24,5,0,0,0,0,0,1,0,3.22,0.078951462,16.549999,0.770997025,1.453062547,6.5,369370000,1.265876144,0.837251456,-1.735739737,0.254025727,-0.62,0.7,1
11-Mar-94,Friday,Trading Day,25,5,0,0,0,0,0,1,0,3.17,0.080563492,14.87,0.895763282,1.453062547,6.5,303890000,0.974474908,0.837566703,1.376020829,0.752329717,0.44,1.62,1
14-Mar-94,Monday,Trading Day,-6,-1,0,0,0,0,0,0,0,3.3,0.077858235,16.610001,0.863335288,1.453062547,6.5,260150000,0.910921251,0.842302235,0.531470167,0.494247726,0.29,1.23,1
15-Mar-94,Tuesday,Trading Day,-5,-1,0,0,0,0,0,0,0,3.25,0.091052052,14.78,0.905953992,1.453062547,6.5,303750000,1.018919191,0.841997434,-0.173745172,0.122605805,0.03,0.44,1
16-Mar-94,Wednesday,Trading Day,-4,-1,0,0,0,0,0,0,0,3.05,0.123153021,14.51,0.848380427,1.453062547,6.5,307640000,0.992995707,0.842040704,1.272122548,0.189059534,0.56,0.45,1
